customer_id,customer_name,phone_number,email,address,signup_date,status
1,Christopher Davis,001-909-343-1471x89751,jgalvan@warner.net,"7095 Russell Meadow
Susanside, DE 92447",09-09-2024,inactive
2,Brent Wilson,765.243.0064,erica23@gmail.com,"283 Mitchell Drives Suite 906
Lake Cheryl, KS 37384",15-09-2022,active
3,Alex Rodriguez,688.560.2602x38688,christopherwinters@graham-jordan.net,"4769 Mark River Apt. 868
Norrisberg, NV 66117",10-03-2024,inactive
4,Craig Thompson,-9168,shanewarren@moreno.com,"PSC 9181, Box 0224
APO AA 48886",10-06-2023,inactive
5,Jeffrey Peck DDS,4896054222,avilachristopher@hotmail.com,"1883 Christopher Squares Apt. 243
Andrewschester, MS 62969",03-01-2021,inactive
6,Amber Guzman,913-891-4143x548,vincent24@rodriguez.com,"36834 Raymond Route
Smithfurt, NY 33195",22-01-2022,active
7,Javier Orozco Jr.,001-851-699-2836x863,ronaldshannon@andrade.info,"776 Mullins Freeway
East Kevin, MA 34222",27-09-2024,inactive
8,Eric Fry,+1-183-653-7508x17185,rsanders@hotmail.com,"467 Kimberly Flat Apt. 082
Emilyfurt, AZ 98558",27-03-2023,active
9,Thomas King,001-176-673-5774,murrayjimmy@ferguson-gray.com,"6549 Edward Loaf Apt. 148
Elizabethbury, SD 61965",25-06-2023,inactive
10,Donna Nixon,+1-416-360-0076x1149,vazquezlance@gmail.com,"501 Jeffrey Stream Suite 834
Isaiahport, AZ 21265",13-01-2021,active
11,John Camacho,(658)420-9474,jeremiahhorn@gmail.com,"2407 Gary Station
Danaborough, CA 40414",13-02-2021,active
12,Ms. Dana Arroyo,471-786-4687,benjamin01@torres.com,"0715 Tiffany Port
Harrisburgh, DE 71737",21-01-2020,inactive
13,Richard Andersen,978.651.8785x79845,jenna25@tanner.net,"0282 Glenn Tunnel Suite 549
Daltonview, NM 24029",18-09-2024,active
14,Laura Robinson,448-279-9843,bakersuzanne@cline-serrano.com,"USNS Cole
FPO AE 34477",26-02-2022,inactive
15,Cheryl Chavez,(343)980-0276x5576,andrea33@hotmail.com,"946 Wilson Circle Suite 454
Lake Destiny, NH 24859",26-09-2024,inactive
16,Nicholas Petty,088.725.0463x8250,joseph30@brown.info,"USCGC Jones
FPO AA 31961",27-10-2021,active
17,Alexander Snyder MD,+1-432-584-3953x654,clee@lewis.com,"560 Brown Lakes
East Elaineland, SD 27348",25-02-2020,active
18,Gregory Adams,829.917.0303,ellisamber@riley.com,"152 Ward Spring Suite 963
Perrymouth, CO 15850",30-10-2021,active
19,Dawn Salazar,948-703-6172,danielle67@reid.com,"360 Peter Ports
East Patrick, IA 97144",04-03-2024,active
20,Caitlyn Rich,665.999.9064,cgarcia@hotmail.com,"76480 Thomas Branch Suite 068
South Katie, AK 88799",22-12-2021,active
21,Miranda White,730-899-5490,james14@snyder.org,"USNS Stevens
FPO AE 24858",06-05-2020,active
22,Devin Luna,110-410-0688,ysmith@ponce.com,"97679 Evans Drives Apt. 271
Jenniferside, MA 47724",27-03-2021,active
23,Elizabeth Mcintosh,827.676.8616x32042,judithhahn@hotmail.com,"297 Charles Plains
Schaeferhaven, DC 89484",02-10-2023,active
24,Brandon Murphy,-1028,mreyes@yahoo.com,"84066 Justin Viaduct
West Brandon, NJ 35972",06-10-2020,active
25,Edward White,+1-479-694-7637x450,kenneth20@hotmail.com,"USS Goodwin
FPO AE 92573",03-10-2021,active
26,Terry Crawford,4059063995,barbara45@hotmail.com,"9950 Lisa Burg
New Brittany, KS 99341",23-05-2021,inactive
27,Katie Aguirre,483.927.3878x23298,wrogers@adams.net,"359 Melinda Crossroad Apt. 557
Whitemouth, WI 15601",02-12-2022,active
28,Susan Brown,+1-495-096-3372x98074,dylanjohnson@wagner-barr.net,"2004 Holt Hills Apt. 765
South Garyberg, IL 81870",26-06-2020,active
29,Anthony Thomas,531.806.1018x430,amy41@martinez.com,"179 Jackson Pine Apt. 639
South Stacy, ME 61549",28-12-2021,active
30,Martin Kemp,(634)744-2842x307,david35@hotmail.com,"Unit 0716 Box 5505
DPO AA 55400",26-01-2022,active
